Specimen Code,Description,Processing - # Blocks,Comments,Gross Template
TESTIS TUMOR,"Testis, Neoplastic, Orchiectomy",15,yellow,G7.T;G7.Z
THYROID,"Thyroid, Total/Lobe",15,yellow,G9.G;G9.H;G9.I
TONSIL ADENOID,Tonsil and/or Adenoids,1,yellow,G9.B;G9.C;G9.A
TOOTH,Tooth,0,,G14.A;G14.B
TZANCK HSV,"Tzanck Smear, Herpes",0,,
URETER RESEC,"Ureter, Resection",10,yellow,G7.M
UTERIN FIBROID,Fibroid Leiomyoma without Uterus,5,yellow,G8.N
UTERUS XTUM,"Uterus, w/wo Tubes & Ovaries, Non-Neopla",15,yellow,G8.J;G8.K;G8.L;G8.N;G8.P
VAS DEF STERIL,"Vas Deferens, Sterilization",1,peach,G7.A
VEIN,Vein,1,yellow,G6.D
VULVA RESEC,"Vulva, Total/Subtotal Resection",5,yellow,G8.R
WASHING,Washing Cytology Specimen,0,,
FROZEN,Frozen Section,,,
DIF Skin,Skin Punch for Dif,0,,G4.L
DIF Dental,Dental for DIF,0,,G4.L
TOPHI,Tophi/Gout,1,white,G1.Q
PARATHYROID,Parathyroid,1,yellow,G9.I
Urine,Urine,0,,
FNA,Fine Needle Aspirate,0,,
AMPUT DIGIT,"Amputation, Digit",5,lilac,G1.F
